title,artist,album,cover,file
Summer,Calvin Harris,Motion,motion.webp,summer.mp3
Blame (feat. John Newman),Calvin Harris,Motion,motion.webp,blame.mp3
Outside (feat. Ellie Goulding),Calvin Harris,Motion,motion.webp,outside.mp3
Feel So Close,Calvin Harris,18 Months,18_months.webp,feel_so_close.mp3
How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,how_deep_is_your_love.webp,how_deep_is_your_love_2.mp3
This Is What You Came For,"Calvin Harris, Rihanna",This Is What You Came For,this_is_what_you_came_for.webp,this_is_what_you_came_for.mp3
One Kiss,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),one_kiss_with_dua_lipa.webp,one_kiss.mp3
