title,artist,album,cover,file
A Sky Full of Stars,Coldplay,Ghost Stories,ghost_stories.webp,a_sky_full_of_stars.mp3
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,viva_la_vida_or_death_and_all_his_friends.webp,viva_la_vida.mp3
Clocks,Coldplay,A Rush of Blood to the Head,a_rush_of_blood_to_the_head.webp,clocks.mp3
Paradise,Coldplay,Mylo Xyloto,mylo_xyloto.webp,paradise.mp3
Fix You,Coldplay,X&Y,xy.webp,fix_you.mp3
Yellow,Coldplay,Parachutes,parachutes.webp,yellow.mp3
Don't Panic,Coldplay,Parachutes,parachutes.webp,dont_panic.mp3
Trouble,Coldplay,Parachutes,parachutes.webp,trouble.mp3
