title,artist,album,cover,file
The Real Slim Shady,Eminem,The Marshall Mathers LP,the_marshall_mathers_lp.webp,the_real_slim_shady.mp3
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),the_marshall_mathers_lp2_deluxe.webp,rap_god.mp3
Lose Yourself,Eminem,Curtain Call: The Hits (Deluxe Edition),curtain_call_the_hits_deluxe_edition.webp,lose_yourself.mp3
Love The Way You Lie (feat. Rihanna),Eminem,Recovery,recovery.webp,love_the_way_you_lie.mp3
Stan (feat. Dido),Eminem,The Marshall Mathers LP,the_marshall_mathers_lp.webp,stan.mp3
