title,artist,album,cover,file
Livin' On A Prayer,Bon Jovi,Slippery When Wet,slippery_when_wet.webp,livin_on_a_prayer.mp3
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,slippery_when_wet.webp,you_give_love_a_bad_name.mp3
It's My Life,Bon Jovi,Crush,crush.webp,its_my_life.mp3
I'll Be There For You,Bon Jovi,New Jersey,new_jersey_deluxe_edition.webp,ill_be_there_for_you.mp3
Never Say Goodbye,Bon Jovi,Slippery When Wet,slippery_when_wet.webp,never_say_goodbye.mp3
Always,Bon Jovi,Cross Road,cross_road.webp,always.mp3
Bed Of Roses,Bon Jovi,Keep The Faith,keep_the_faith.webp,bed_of_roses.mp3
