title,artist,album,cover,file
Beautiful Girls,Sean Kingston,Beautiful Girls,beautiful_girls.webp,beautiful_girls.mp3
Eenie Meenie,"Sean Kingston, Justin Bieber",Eenie Meenie EP,eenie_meenie_ep.webp,eenie_meenie.mp3
