title,artist,album,cover,file
Bohemian Rhapsody,Queen,Stone Cold Classics,stone_cold_classics.webp,bohemian_rhapsody.mp3
We Are The Champions,Queen,Stone Cold Classics,stone_cold_classics.webp,we_are_the_champions.mp3
We Will Rock You,Queen,Stone Cold Classics,stone_cold_classics.webp,we_will_rock_you.mp3
Another One Bites The Dust,Queen,Stone Cold Classics,stone_cold_classics.webp,another_one_bites_the_dust.mp3
Don't Stop Me Now,Queen,Discover More Classic Rock,discover_more_classic_rock.webp,dont_stop_me_now.mp3
I Want To Break Free,Queen,Bohemian Rhapsody (The Original Soundtrack),bohemian_rhapsody_the_original_soundtrack.webp,i_want_to_break_free.mp3
Radio Ga Ga,Queen,The Works (Deluxe Remastered Version),the_works_deluxe_remastered_version.webp,radio_ga_ga.mp3
