title,artist,album,cover,file
Heroes Tonight (feat. Johnning),Janji,NoCopyrightSounds,heroes_tonight.webp,heroes_tonight.mp3
Shine,Spektrem,NoCopyrightSounds,shine.webp,shine.mp3
On & On (feat. Daniel Levi),"Cartoon, Jéja",NoCopyrightSounds,on__on.webp,on_&_on.mp3
Symbolism,Electro-Light,NoCopyrightSounds,symbolism.webp,symbolism.mp3
